,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
55,-0.5683795611623796,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
56,-1.2472390801415063,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
57,-0.042520718960029666,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
58,0.7678478048841214,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
59,0.870971831429064,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
60,-3.967435347099745,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
61,-1.2937138070987644,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
62,-0.9229344804254461,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
63,-0.34949319558178166,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
64,-0.7813029023848286,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
65,-0.1830654984070995,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
66,0.14309012908778707,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
67,0.3657097753291732,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
68,-1.6967799265362433,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
69,1.2091449023759064,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
70,1.610648986689506,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
71,1.8584374588636368,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
72,-2.1871884385342417,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
73,-1.9229015423908704,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
74,-1.0132853827658421,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
75,-1.1090249309440963,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
76,-2.2614157305463793,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
